Indicator,Percentage of bleached colonies observed per month
Units,Percentage of bleached colonies
Extent,St. Croix
May-02,9.090909091
Jun-02,6.779661017
Jul-02,0
Mar-03,3.03030303
Apr-03,6.474820144
May-03,4.379562044
Jul-03,0
Sep-03,0
May-04,5.23415978
Jun-04,1.587301587
Oct-04,1.020408163
Jan-05,8.695652174
Feb-05,8.333333333
Mar-05,0
Oct-05,90.625
Nov-05,37.13355049
Jan-06,5.263157895
Mar-06,0
Sep-06,5.405405405
Dec-06,0.647249191
Sep-07,8.023774146
Sep-08,10.74270557
Jan-09,3.020134228
Apr-09,17.85714286
Oct-09,11.00099108
Aug-10,13.63636364
Nov-10,31.54362416
Jul-11,6.496350365
Aug-12,4.861111111
Aug-13,2.554470323
Oct-14,6.308411215
Dec-14,5.982905983
Sep-15,10.44247788
Oct-15,7.231040564
Apr-16,11.11111111
Oct-16,8.149405772
Feb-17,4.910714286
Mar-17,3.553299492
Nov-18,7.623318386
Oct-19,18.744551
Dec-19,27.22007722
Mar-20,3.062787136
Apr-20,4.243542435
