Indicator,Value of commercially caught conch in Puerto Rico
Unit,Value in dollars
Year,Total value in dollars of landed Queen Conch in PR
1990,3568218
1991,4301289
1992,3714863
1993,4452878
1994,5165984
1995,7254647
1996,7006152
1997,7620212
1998,7192067
1999,7244154
2000,7136781
2001,7695930
2002,7518276
2003,5638888
2004,4533460
2005,4115143
2006,3786571
2007,3659246
2008,3806177
2009,3461950
2010,3576905
2011,4443223
2012,4872785
2013,4990682
2014,6094636
2015,6354016
2016,6234445
2017,5031738
2018,6613014
2019,8215947
