Marine Recreational Information Program Query Results,,,,
,,,,
Your Query Parameters:,,,,
,,,,
Query: MRIP EFFORT TIME SERIES,,,,
,,,,
Year: 1981 - 2022,,,,
,,,,
Wave: ANNUAL,,,,
,,,,
Geographic Area: PUERTO RICO,,,,
,,,,
Fishing Mode: ALL MODES BY MODE,,,,
,,,,
Fishing Area: ALL AREAS COMBINED,,,,
,,,,
Information:,,,,
,,,,
ANGLER TRIPS,,,,
,,,,
PSE (proportional standard error) is automatically included in all outputs. It expresses the standard error of an estimate as a percentage of the estimate and is a,,,,
,,,,
measure of precision.,,,,
,,,,
Estimate Status,Year,Fishing Mode,Angler Trips,PSE
FINAL,2000,SHORE,792890,14.7
FINAL,2000,CHARTER BOAT,16899,51.8
FINAL,2000,PRIVATE/RENTAL BOAT,552914,12.1
FINAL,2001,SHORE,896675,9.6
FINAL,2001,CHARTER BOAT,10919,46.4
FINAL,2001,PRIVATE/RENTAL BOAT,504349,8.8
FINAL,2002,SHORE,693938,12
FINAL,2002,CHARTER BOAT,34277,46.4
FINAL,2002,PRIVATE/RENTAL BOAT,572844,7.2
FINAL,2003,SHORE,617900,12.1
FINAL,2003,CHARTER BOAT,21764,30.4
FINAL,2003,PRIVATE/RENTAL BOAT,471741,9.9
FINAL,2004,SHORE,638802,15.3
FINAL,2004,CHARTER BOAT,22028,29.1
FINAL,2004,PRIVATE/RENTAL BOAT,389469,10.4
FINAL,2005,SHORE,468843,11.8
FINAL,2005,CHARTER BOAT,17969,35
FINAL,2005,PRIVATE/RENTAL BOAT,379910,10.8
FINAL,2006,SHORE,507026,13.9
FINAL,2006,CHARTER BOAT,16823,33.7
FINAL,2006,PRIVATE/RENTAL BOAT,431274,12.4
FINAL,2007,SHORE,615455,12.2
FINAL,2007,CHARTER BOAT,10734,35.5
FINAL,2007,PRIVATE/RENTAL BOAT,453907,12.2
FINAL,2008,SHORE,423190,14
FINAL,2008,CHARTER BOAT,12622,32.9
FINAL,2008,PRIVATE/RENTAL BOAT,362739,11.8
FINAL,2009,SHORE,345584,13.2
FINAL,2009,CHARTER BOAT,2610,54.9
FINAL,2009,PRIVATE/RENTAL BOAT,287957,13.4
FINAL,2010,SHORE,219651,15.6
FINAL,2010,CHARTER BOAT,4113,50.7
FINAL,2010,PRIVATE/RENTAL BOAT,312419,12
FINAL,2011,SHORE,232917,13.9
FINAL,2011,CHARTER BOAT,4730,52.3
FINAL,2011,PRIVATE/RENTAL BOAT,186939,16.2
FINAL,2012,SHORE,140266,17.3
FINAL,2012,CHARTER BOAT,1839,73.8
FINAL,2012,PRIVATE/RENTAL BOAT,208462,14.1
FINAL,2013,SHORE,275132,18.8
FINAL,2013,CHARTER BOAT,6470,64.7
FINAL,2013,PRIVATE/RENTAL BOAT,228661,19.2
FINAL,2014,SHORE,275636,18.1
FINAL,2014,PRIVATE/RENTAL BOAT,258864,17.3
FINAL,2015,SHORE,368465,18.3
FINAL,2015,CHARTER BOAT,2350,80
FINAL,2015,PRIVATE/RENTAL BOAT,296745,15.8
FINAL,2016,SHORE,309502,15.9
FINAL,2016,PRIVATE/RENTAL BOAT,344112,14.9
FINAL,2017,SHORE,209749,39.7
FINAL,2017,PRIVATE/RENTAL BOAT,126555,23.9
