year,brownfields,PR brownfields,USVI brownfields,ICIS sites,PR ICIS sites,USVI ICIS sites,NCDB sites,PR NCDB sites,USVI NCDB sites,TRI sites,PR TRI sites,USVI TRI sites,Superfund sites,PR Superfund sites,USVI Superfund sites
,number added,number added,number added,number added,number added,number added,number added,number added,number added,number added,number added,number added,number added,number added,number added
1988,,,,6,3,3,,,,,,,,,
1989,,,,27,26,1,,,,,,,,,
1990,,,,20,19,1,,,,,,,,,
1991,,,,31,31,,,,,,,,,,
1992,,,,28,23,5,,,,,,,,,
1993,,,,24,24,,,,,,,,,,
1994,,,,30,26,4,,,,,,,,,
1995,,,,118,114,4,,,,,,,,,
1996,,,,42,42,,,,,,,,,,
1997,,,,91,87,4,,,,,,,,,
1998,,,,66,65,1,,,,,,,,,
1999,,,,66,64,2,,,,,,,,,
2000,,,,102,79,23,,,,97,95,2,,,
2001,,,,75,64,11,15,15,0,108,106,2,,,
2002,,,,78,71,7,840,816,24,7,7,0,14,12,2
2003,,,,370,354,16,33,30,3,1,1,0,1,1,0
2004,,,,117,113,4,5,5,0,0,0,0,3,3,0
2005,,,,142,82,60,46,45,1,4,3,1,0,0,0
2006,,,,93,80,13,8,7,1,2,2,0,1,1,0
2007,,,,476,460,16,,,,1,1,0,1,1,0
2008,,,,255,224,31,,,,2,1,1,0,0,0
2009,5,5,0,219,202,17,,,,0,0,0,0,0,0
2010,2,1,1,111,98,13,,,,1,1,0,2,2,0
2011,8,8,0,438,426,12,,,,1,1,0,1,1,0
2012,16,10,6,171,131,40,,,,0,0,0,0,0,0
2013,35,25,10,178,168,10,,,,94,91,3,200,175,25
2014,22,22,0,71,64,7,,,,6,6,,0,0,0
2015,3,3,0,106,90,16,,,,1,1,,4,4,0
2016,0,0,0,40,37,3,,,,2,2,,18,15,3
2017,10,10,0,42,31,11,,,,1,1,,24,23,1
2018,2,2,0,9,8,1,,,,1,1,,3,3,0
2019,45,44,1,16,15,1,,,,,,,6,3,3
2020,1,1,0,30,30,0,,,,,,,8,7,1
2021,,,,6,6,0,,,,,,,,,
