Indicator,Total commercial fishing landings in Puerto Rico
Unit,Total pounds landed in Puerto Rico
Year,Total pounds landed in Puerto Rico
1990,2180841
1991,2459904
1992,2045294
1993,2496521
1994,2710947
1995,3689885
1996,3587819
1997,3805891
1998,3455082
1999,3333946
2000,3386583
2001,3391241
2002,3275579
2003,2390999
2004,1867511
2005,1569189
2006,1345432
2007,1256664
2008,1266432
2009,1155454
2010,1117943
2011,1327079
2012,1369904
2013,1354821
2014,1582641
2015,1577277
2016,1487043
2017,1124713
2018,1427502
2019,1676893
